"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-06 04:30:13",53,50,3.242,1549804,259,356,33844,0,89,267,1348,1348,1,3242,8,4927,811,828,811,"130.6","13.74","86.26","43.53","02.37","2.26","68.65","babycenter.com"
"2019-07-24 13:19:48",52,54,2.798,945406,137,396,10454,0,210,186,982,1050,51,2798,21,4402,902,1228,902,"42.01","66.38","33.62","14.00","04.38","5.44","18.74","barclaycardus.com"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.92","46.34","53.66","10.64","02.22","4.04","57.89","bhg.com"
"2019-07-20 09:01:19",74,78,1.888,395963,25,764,3122,0,53,711,1754,1754,4,1888,1,2015,1758,1851,1758,"73.73","43.42","56.58","24.57","02.30","5.79","58.54","https://subscribe.billboard.com/sub/?p=BBL&amp;f=sale&amp;s=IB1404NS08"
"2019-07-24 13:27:10",45,33,4.987,4495031,448,164,25764,0,157,7,940,941,64,4987,42,9794,697,697,697,"453.8","17.62","82.38","151.2","58","4.27","73.09","https://www.businessinsider.com/international?r=US&amp;amp;IR=T"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321.7","50.21","49.79","107.2","04.04","2.95","61.94","https://www.buzzfeednews.com/article/juliareinstein/jews-against-ice-never-again-immigration-concentration-camp"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.10","39.16","60.84","8.368","02.16","1.96","71.68","cancer.org"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.96","30.65","69.35","14.65","03.46","5.13","50.49","carid.com"
"2019-07-20 09:27:17",86,79,1.067,336838,14,563,8969,0,307,256,1047,1047,2,1067,0,1150,983,985,983,"153.9","48.24","51.76","51.31","02.05","2.38","75.29","https://cbsi.secure.force.com/CBSi/knowledgehome2?categories=CBS_Interactive:CBSNews&amp;referer=cbsnews.com/main"
"2019-07-24 13:36:00",71,89,1.758,1226834,45,276,45393,75,66,135,1441,1441,23,1758,5,3412,588,805,588,"191.4","45.73","54.27","63.81","03.49","2.80","53.23","http://shop.cbssports.com/?utm_source=cbssportscom_hp&amp;utm_medium=bm_referral&amp;utm_term=kw--CBS_Sports"
"2019-06-28 01:30:30",66,15,5.797,2556603,759,1543,6886,515,608,420,3995,3995,9,5797,2,22524,4125,4125,4125,"58.29","36.77","63.23","19.43","04.21","3.93","42.04","cheapoair.com"
"2019-06-28 01:33:53",36,13,16.756,19842472,1054,200,53030,140,54,6,3827,4236,282,16756,36,35666,1913,1996,1913,"111.0","60.81","39.19","37.01","01.26","1.86","81.38","chron.com"
"2019-07-24 13:41:38",52,23,3.978,1941993,596,904,20975,505,20,379,1595,1605,43,3978,43,8033,1162,1701,1162,"28.54","45.12","54.88","9.514","01.11","1.59","77.17","cinemablend.com"
"2019-07-01 16:29:13",49,50,8.274,3857753,275,294,54974,239,25,30,1972,1973,39,8274,217,12441,848,873,848,"306.7","47.36","52.64","102.2","02.12","1.86","63.86","cnbc.com"
"2019-07-24 13:43:48",47,60,4.071,1725833,180,1144,196824,628,1,515,3113,3114,3,4071,40,5346,1717,1717,1717,"2.911","29.68","70.32","970,446","03.27","4.01","54.05","cruisecritic.co.uk"
"2019-06-28 01:46:18",44,20,12.799,3280452,705,88,13904,26,31,31,1281,1281,104,12799,144,16667,818,1603,818,"96.76","59.31","40.69","32.25","02.12","3.32","61.19","knowyourmeme.com"
