"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-06-28 04:17:46",51,31,3.75,17147382,179,300,25061,150,94,56,1428,1428,50,3750,99,14394,1197,3786,1197,"846,557","67.22","32.78","282,186","00.53","1.46","81.74","outdoorchannel.com"
"2019-07-24 14:10:44",50,56,2.235,2694554,240,525,22606,420,69,36,1367,1367,5,2235,31,7137,1346,1961,1346,"150.2","35.22","64.78","50.07","03.33","3.14","48.37","skysports.com"
"2019-06-01 23:11:47",50,26,7.978,3678761,626,54,202628,26,20,8,1804,1824,13,7978,25,11230,704,1121,704,"74.32","66.48","33.52","24.77","02.23","1.75","69.51","techcrunch.com"
"2019-06-23 22:17:56",52,25,6.166,3190639,557,1189,45639,437,463,289,1715,2105,6,6166,57,26169,1339,1842,1479,"188.9","60.97","39.03","62.97","01.","1.53","77.58","techradar.com"
"2019-06-28 04:49:44",75,91,2.647,2306200,98,232,32683,165,61,6,847,847,0,2647,4,2696,437,1361,437,"72.27","59.48","40.52","24.09","06.23","4.10","50.70","ted.com"
"2019-06-28 04:52:06",41,15,10.298,7372933,1078,96,59518,23,24,49,2862,2863,80,10298,158,14475,667,685,667,"57.81","33.56","66.44","19.27","07.26","5.60","35.59","thechive.com"
"2019-06-28 04:59:33",40,19,14.663,7611819,1017,820,52499,532,14,274,2624,2624,165,14663,186,16764,1384,1494,1694,"53.94","39.92","60.08","17.98","03.26","2.29","52.62","thegatewaypundit.com"
"2019-06-28 05:01:50",47,43,9.178,2622850,410,116,178296,108,1,7,1051,1052,19,9178,507,12010,502,608,502,"886.3","52.46","47.54","295.4","03.32","3.16","60.91","theguardian.com"
"2019-06-28 05:04:55",43,58,5.444,2743352,183,85,39078,32,40,13,2340,2340,162,5444,252,8109,1415,1415,1415,"163.1","51.51","48.49","54.38","04.08","1.87","71.56","thehill.com"
"2019-06-28 05:13:16",67,91,1.596,1125605,64,169,18416,68,48,53,232,1095,0,1596,1,3590,466,774,466,"42.50","48.53","51.47","14.16","01.09","1.65","76.08","thekitchn.com"
"2019-06-28 05:15:50",51,44,15.374,4198547,397,243,91258,208,25,10,916,925,0,15374,31,20383,1044,2333,1044,"163.1","51.51","48.49","54.38","04.08","1.87","71.56","theonion.com"
"2019-06-28 05:18:16",63,80,2.495,1062156,87,153,165752,33,103,17,611,611,83,2495,79,2806,601,780,601,"24.72","20.26","79.74","8.242","01.01","1.26","68.62","thepennyhoarder.com"
"2019-06-23 22:55:09",46,30,10.029,6950674,581,86,61093,53,26,7,2192,2192,43,10029,27,13241,601,737,1937,"191.3","60.51","39.49","63.78","01.15","1.54","71.90","theverge.com"
"2019-06-28 05:23:16",39,40,5.901,2387497,373,119,25348,44,45,30,999,1000,1,5901,134,10292,703,1448,703,"23.21","58.72","41.28","7.738","01.52","2.78","62.73","theweek.com"
"2019-06-25 05:30:54",38,23,16.428,8500026,1006,1361,54076,155,47,1159,7845,7845,166,16428,12,20950,6129,6278,6129,"139.6","38.39","61.61","46.56","02.08","2.35","59.69","tmz.com"
"2019-07-24 14:38:34",48,23,5.902,2272170,717,213,17207,30,163,20,1354,1355,15,5902,36,11296,1459,1459,1459,"46.56","48.76","51.24","15.52","04.05","3.32","48.74","townhall.com"
"2019-06-28 05:33:59",49,38,10.349,3407870,352,309,5209,180,31,98,1547,1547,848,10349,101,11662,2460,3786,4131,"402.4","1.44","98.56","134.1","04.24","2.09","52.51","tracfone.com"
"2019-06-28 05:42:08",48,21,16.989,6151866,466,1235,84152,137,422,676,4074,4074,131,16989,33,18048,3245,4020,3245,"88.29","41.37","58.63","29.43","01.10","1.85","70.32","tvguide.com"
