Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-28 09:43:17",53,73,3.0870,16936599,182,806,9744,326,113,367,2102,2102,108,3087,31,8939,2386,2387,2386,1F3LrgJk
"2019-07-25 12:42:19",48,60,3.7030,22110848,229,922,9743,301,112,509,1793,1793,158,3703,3,9220,1461,1562,1461,KPdxUIgd
