Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
30-05-2019,51,26,5.188,3236282,532,1058,45395,315,455,288,1589,2344,5,5188,92,15935,1576,6063,1576,12,60.97,39.03,62.97,1,1.53,77.58,techradar.com,1
28-06-2019,75,91,2.647,2306200,98,232,32683,165,61,6,847,847,0,2647,4,2696,437,1361,437,35,59.48,40.52,24.09,6.23,4.1,50.7,ted.com,1
03-06-2019,41,14,12.377,6455072,1063,96,61580,28,27,41,1720,2047,18,12377,230,16369,575,1222,575,32,33.56,66.44,19.27,7.26,5.6,35.59,thechive.com,1
21-06-2019,41,31,8.743,5938109,704,763,51693,483,14,266,2914,2914,114,8743,175,13010,1922,2107,2115,31,39.92,60.08,17.98,3.26,2.29,52.62,thegatewaypundit.com,1
29-05-2019,51,52,9.483,2237766,297,452,166080,393,1,58,1354,1355,11,9483,7,9754,963,970,963,42,52.46,47.54,295.4,3.32,3.16,60.91,theguardian.com,1
05-06-2019,47,58,2.508,2345882,167,76,39024,37,32,7,840,840,70,2508,72,16374,552,552,552,11,51.51,48.49,54.38,4.08,1.87,71.56,thehill.com,1
28-06-2019,67,91,1.596,1125605,64,169,18416,68,48,53,232,1095,0,1596,1,3590,466,774,466,27,48.53,51.47,14.16,1.09,1.65,76.08,thekitchn.com,1
03-06-2019,50,45,10.641,3222701,357,155,92011,133,15,7,628,2686,7,10641,15,12553,675,675,675,11,51.51,48.49,54.38,4.08,1.87,71.56,theonion.com,1
06-06-2019,63,80,1.401,1000960,90,102,139413,29,51,22,463,463,71,1401,9,2706,463,655,463,17,20.26,79.74,8.242,1.01,1.26,68.62,thepennyhoarder.com,1
29-05-2019,53,30,2.793,5954750,453,106,60064,63,37,6,2115,2116,31,2793,143,9201,581,581,2042,13,60.51,39.49,63.78,1.15,1.54,71.9,theverge.com,1
28-06-2019,39,40,5.901,2387497,373,119,25348,44,45,30,999,1000,1,5901,134,10292,703,1448,703,16,58.72,41.28,7.738,1.52,2.78,62.73,theweek.com,1
20-07-2019,64,39,3.382,5001559,140,286,593458,235,39,12,1494,1969,0,3382,25,5132,729,729,729,8,38.39,61.61,46.56,2.08,2.35,59.69,tmz.com,1
12-06-2019,44,25,11.04,10895707,959,409,53594,154,38,217,4555,4555,125,11040,9,27534,3640,3746,3640,30,48.76,51.24,15.52,4.05,3.32,48.74,townhall.com,1
28-06-2019,49,38,10.349,3407870,352,309,5209,180,31,98,1547,1547,848,10349,101,11662,2460,3786,4131,25,1.44,98.56,134.1,4.24,2.09,52.51,tracfone.com,1
28-06-2019,48,21,16.989,6151866,466,1235,84152,137,422,676,4074,4074,131,16989,33,18048,3245,4020,3245,41,41.37,58.63,29.43,1.1,1.85,70.32,tvguide.com,1
28-06-2019,68,27,8.244,14349984,140,3023,19744,331,629,2063,3999,3999,59,8244,26,8442,3649,4621,3649,45,50.87,49.13,362368,1.54,2.24,58.52,bachtrack.com,1
28-06-2019,89,76,1.025,747078,70,170,11285,48,44,78,601,601,56,1025,1,1056,625,625,625,50,26.35,73.65,462315,2.08,1.66,66.53,badcredit.org,1
28-06-2019,68,59,2.553,1430677,49,548,9130,331,143,74,1375,1376,59,2553,11,3943,1392,1429,1392,62,37.23,62.77,69646,2.48,2.92,57.8,bibletalk.tv,1
28-06-2019,66,77,2.215,3025254,187,944,16261,794,119,31,1572,1572,69,2215,15,5540,1430,1473,1430,46,16.09,83.91,366735,1.52,1.89,64.48,bigsquidrc.com,1
28-06-2019,67,66,5.373,1064933,54,3397,7273,361,510,2526,4980,4980,10,5373,1,9307,4883,5001,4883,91,67.28,32.72,299796,3.24,3.5,44.81,bitcoincharts.com,1
28-06-2019,73,83,2.654,1283048,114,1194,12752,88,41,1065,1491,1821,0,2654,128,6998,1831,1846,2616,47,35.76,64.24,376376,0.59,1.7,66.03,brevardtimes.com,1
28-06-2019,72,81,1.578,983454,84,296,6004,136,30,130,476,476,0,1578,1,2555,352,389,352,68,34.1,65.9,116047,3.05,3.36,50.45,buildeazy.org,1
28-06-2019,63,42,2.104,2772878,89,365,36367,37,24,304,848,848,187,2104,2,4148,888,888,888,80,45.48,54.52,164487,2.09,1.83,66.64,bycommonconsent.com,1
28-06-2019,53,73,3.087,16936599,182,806,9744,326,113,367,2102,2102,108,3087,31,8939,2386,2387,2386,77,28.11,71.89,148723,1.4,1.64,77.86,camelliabrand.com,1
28-06-2019,67,87,2.428,1381088,81,676,12531,151,159,366,1360,1360,31,2428,3,3167,1131,1330,1131,48,27.77,72.23,418399,26.31,10.55,35.13,caminodesantiago.me,1
28-06-2019,72,84,2.565,1210177,69,597,8526,217,71,309,2435,2435,13,2565,20,3185,2541,2541,2541,58,26.34,73.66,54551,2.48,3.78,50.85,carburetor-parts.com,1
31-05-2019,66,61,2.229,1578701,78,884,20546,173,159,552,1982,1982,107,2229,7,2754,1596,1854,1619,85,53.54,46.46,25649,2.1,2.77,39.19,cardonationwizard.com,1
31-05-2019,66,61,2.229,1578701,78,884,20546,173,159,552,1982,1982,107,2229,7,2754,1596,1854,1619,67,39.1,60.9,1.086,3.09,3.03,73.41,cardplayer.com,1
28-06-2019,51,64,5.371,1936243,103,858,8725,355,349,154,2402,2402,65,5371,4,5499,1568,2078,1713,75,22.46,77.54,138500,2.56,4.5,55.29,careerlink.com,1
28-06-2019,64,26,4.266,6400047,129,149,27615,65,60,24,3427,3583,164,4266,15,4826,785,786,785,70,42.31,57.69,125381,0.32,1.32,81.32,celebrityaccess.com,1
28-06-2019,74,19,2.869,8321795,114,564,24021,166,256,142,1675,1691,4,2869,10,4049,1337,1337,1337,69,21.47,78.53,123027,1.37,2.27,75.34,cgi.org,1
28-06-2019,72,95,3.039,564768,44,1646,43832,582,208,856,2053,2291,112,3039,1,3192,2087,2884,2088,82,77.07,22.93,195160,0.25,1.1,80.62,chriswrites.com,1
28-06-2019,50,64,1.54,970363,99,473,34125,273,110,90,804,804,50,1540,23,2582,807,835,807,64,29.42,70.58,77083,1.55,2.79,56.88,churchangel.com,1
28-06-2019,59,65,6.961,3779347,136,1413,30669,423,891,99,4160,4160,184,6961,2,7793,3858,4459,3858,89,37.96,62.04,281780,3.35,2.93,55.98,churchofsatan.com,1
28-06-2019,50,0,2.813,15398546,75,787,26171,167,187,433,1806,1806,13,2813,6,3557,1497,2131,1497,87,16.03,83.97,266393,2.02,3.11,46.85,cinemacafe.com,1
28-06-2019,55,61,2.511,11579070,117,797,29235,252,388,157,1105,1105,183,2511,7,3187,1110,1984,1392,76,24.78,75.22,146240,2.23,3.67,53.32,cinemagicmovies.com,1
28-06-2019,98,100,0.251,652,4,217,270,172,15,30,250,250,0,251,0,368,265,265,265,83,45.45,54.55,21714,0.33,1.78,55.61,communityadvocate.com,1
28-06-2019,54,51,2.404,2157264,75,433,9030,254,94,85,1264,1265,73,2404,1,3425,1173,1185,1173,59,54.87,45.13,54699,1.16,2.32,51.09,connectionnewspapers.com,1
28-06-2019,47,56,3.23,2567403,132,502,36378,158,143,201,1416,1416,49,3230,1,5252,925,925,925,61,53.46,46.54,63360,0.57,1.38,69.2,cooperator.com,1
28-06-2019,57,61,4.041,1153674,100,1130,27338,328,193,609,3389,3390,147,4041,6,5459,1686,2960,1686,92,31.8,68.2,318660,3.02,4.17,58.82,crappie.com,1
28-06-2019,66,74,1.879,346047,48,505,101710,178,247,80,1087,1726,10,1879,0,1969,982,1035,982,65,18.62,81.38,83574,8.37,5.85,20.3,kansasauctions.com,1
28-06-2019,53,50,2.901,2730794,202,160,24557,0,83,77,1176,1176,228,2901,62,4305,1079,1087,1079,90,46.68,53.32,29063,0.56,1.8,45.7,kansaspublicradio.org,1
28-06-2019,59,25,12.767,17758799,134,3338,26178,836,533,1969,5828,5828,133,12767,37,14247,4778,6242,4778,56,32.12,67.88,49720,1.07,2.12,50.21,kerrygoldusa.com,1
28-06-2019,54,49,5.552,7810066,290,323,13504,189,72,62,1238,1238,121,5552,59,7658,934,1343,934,55,59.13,40.87,45187,1.24,2.26,55.39,100layercake.com,1
28-06-2019,43,49,6.086,3668780,207,1001,22362,344,336,321,3304,3309,60,6086,2,11075,1738,2702,1828,73,24.45,75.55,1.38,1.35,1.88,75.12,nation.com.pk,1
28-06-2019,91,84,1.872,773735,81,727,10332,42,29,656,752,752,0,1872,2,2043,819,1616,1100,63,22.59,77.41,7.434,11.3,11.69,23.07,neswangy.net,1
28-06-2019,47,29,3.692,4427564,149,1156,70665,693,371,92,2607,2607,52,3692,1,4487,2050,2549,2050,88,72.31,27.69,276576,4.4,4.75,61.12,nrao.edu,1
28-06-2019,46,55,3.806,3665814,180,511,32932,434,2,75,1654,1654,96,3806,119,5780,1043,1700,1043,93,56.32,43.68,32897,1.12,2.17,54.97,oaklandmagazine.com,1
28-06-2019,47,22,5.999,10821404,201,209,40673,95,81,33,1836,1836,297,5999,4,7529,1270,1440,1270,51,36.96,63.04,473253,0.39,1.36,84.47,ocweekly.com,1
28-06-2019,39,5,11.259,14310437,455,1120,36574,770,1,349,2890,2890,9,11259,40,30765,1564,1739,1564,74,81.67,18.33,1.622,4.25,3.36,61.09,1in.am,1
28-06-2019,58,50,2.409,916226,89,223,5393,0,187,36,826,826,0,2409,1,5793,346,418,374,49,77.76,22.24,426769,3.44,3.12,37.03,onemorelevel.com,1
28-06-2019,66,47,3.85,3104245,116,1531,12494,183,53,1295,2183,2187,0,3850,0,6096,2072,2354,2072,78,15.08,84.92,150402,3.22,6.24,27.72,outdoorsfirst.com,1
28-06-2019,53,60,1.703,1188528,118,432,13047,257,123,52,1354,1355,78,1703,0,2519,798,865,798,79,56.62,43.38,15349,0.24,1.33,61.62,techgaming.com,1
28-06-2019,54,67,4.684,2052365,134,1198,25443,552,168,478,3005,3006,73,4684,7,6898,2281,4385,2281,52,73.48,26.52,492913,0.57,1.29,78.83,techsupportall.com,1
28-06-2019,55,36,4.866,5048834,153,680,18685,395,136,149,1234,1235,151,4866,1,7656,1263,1329,1263,54,22.17,77.83,36636,0.45,1.73,55.76,thebraziltimes.com,1
28-06-2019,75,80,2.071,955657,49,677,17409,349,157,171,787,787,1,2071,0,3302,768,1230,768,86,15.1,84.9,264332,1.46,3.48,51.04,tiendeo.us,1
28-06-2019,85,89,0.728,252826,52,265,15997,113,106,46,416,416,0,728,0,792,394,584,583,81,24.3,75.7,186940,1.11,1.89,49.89,topconsumerreviews.com,1
28-06-2019,84,88,1.002,530053,35,459,7392,365,26,68,664,664,10,1002,1,1031,669,669,669,57,44.92,55.08,52190,0.56,1.54,64.8,topdreamer.com,1
28-06-2019,59,71,3.106,2033564,117,305,13386,115,116,74,2326,2327,7,3106,23,3775,1171,1825,1171,66,12.42,87.58,86710,1.23,3.15,58.33,transdepot.net,1
28-06-2019,65,68,56.99,51461774,330,154,50700,57,73,24,2168,2168,408,56990,316,57441,900,1870,900,72,39.19,60.81,129687,1.16,1.58,71.41,truthaboutpetfood.com,1
