"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-06-28 06:23:07",68,27,8.244,14349984,140,3023,19744,331,629,2063,3999,3999,59,8244,26,8442,3649,4621,3649,"1.087","50.87","49.13","362,368","01.54","2.24","58.52","bachtrack.com"
"2019-06-28 06:26:21",89,76,1.025,747078,70,170,11285,48,44,78,601,601,56,1025,1,1056,625,625,625,"1.386","26.35","73.65","462,315","02.08","1.66","66.53","badcredit.org"
"2019-06-28 06:28:33",68,59,2.553,1430677,49,548,9130,331,143,74,1375,1376,59,2553,11,3943,1392,1429,1392,"208,938","37.23","62.77","69,646","02.48","2.92","57.80","bibletalk.tv"
"2019-06-28 06:31:39",66,77,2.215,3025254,187,944,16261,794,119,31,1572,1572,69,2215,15,5540,1430,1473,1430,"1.100","16.09","83.91","366,735","01.52","1.89","64.48","bigsquidrc.com"
"2019-06-28 06:35:36",67,66,5.373,1064933,54,3397,7273,361,510,2526,4980,4980,10,5373,1,9307,4883,5001,4883,"899,388","67.28","32.72","299,796","03.24","3.50","44.81","bitcoincharts.com"
"2019-06-28 06:44:18",73,83,2.654,1283048,114,1194,12752,88,41,1065,1491,1821,0,2654,128,6998,1831,1846,2616,"1.129","35.76","64.24","376,376","00.59","1.70","66.03","brevardtimes.com"
"2019-06-28 06:47:28",72,81,1.578,983454,84,296,6004,136,30,130,476,476,0,1578,1,2555,352,389,352,"348,140","34.10","65.90","116,047","03.05","3.36","50.45","buildeazy.org"
"2019-06-28 06:53:37",63,42,2.104,2772878,89,365,36367,37,24,304,848,848,187,2104,2,4148,888,888,888,"493,460","45.48","54.52","164,487","02.09","1.83","66.64","bycommonconsent.com"
"2019-06-28 09:43:17",53,73,3.087,16936599,182,806,9744,326,113,367,2102,2102,108,3087,31,8939,2386,2387,2386,"446,169","28.11","71.89","148,723","01.40","1.64","77.86","camelliabrand.com"
"2019-06-28 09:51:00",67,87,2.428,1381088,81,676,12531,151,159,366,1360,1360,31,2428,3,3167,1131,1330,1131,"1.255","27.77","72.23","418,399","26.31","10.55","35.13","caminodesantiago.me"
"2019-06-28 09:55:08",72,84,2.565,1210177,69,597,8526,217,71,309,2435,2435,13,2565,20,3185,2541,2541,2541,"163,652","26.34","73.66","54,551","02.48","3.78","50.85","carburetor-parts.com"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76,946","53.54","46.46","25,649","02.10","2.77","39.19","cardonationwizard.com"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.258","39.10","60.90","1.086","03.09","3.03","73.41","cardplayer.com"
"2019-06-28 10:17:30",51,64,5.371,1936243,103,858,8725,355,349,154,2402,2402,65,5371,4,5499,1568,2078,1713,"415,499","22.46","77.54","138,500","02.56","4.50","55.29","careerlink.com"
"2019-06-28 10:24:47",64,26,4.266,6400047,129,149,27615,65,60,24,3427,3583,164,4266,15,4826,785,786,785,"376,143","42.31","57.69","125,381","00.32","1.32","81.32","celebrityaccess.com"
"2019-06-28 10:36:33",74,19,2.869,8321795,114,564,24021,166,256,142,1675,1691,4,2869,10,4049,1337,1337,1337,"369,080","21.47","78.53","123,027","01.37","2.27","75.34","cgi.org"
"2019-06-28 10:39:30",72,95,3.039,564768,44,1646,43832,582,208,856,2053,2291,112,3039,1,3192,2087,2884,2088,"585,479","77.07","22.93","195,160","00.25","1.10","80.62","chriswrites.com"
"2019-06-28 10:43:29",50,64,1.54,970363,99,473,34125,273,110,90,804,804,50,1540,23,2582,807,835,807,"231,250","29.42","70.58","77,083","01.55","2.79","56.88","churchangel.com"
"2019-06-28 10:48:39",59,65,6.961,3779347,136,1413,30669,423,891,99,4160,4160,184,6961,2,7793,3858,4459,3858,"845,341","37.96","62.04","281,780","03.35","2.93","55.98","churchofsatan.com"
"2019-06-28 11:01:29",50,0,2.813,15398546,75,787,26171,167,187,433,1806,1806,13,2813,6,3557,1497,2131,1497,"799,180","16.03","83.97","266,393","02.02","3.11","46.85","cinemacafe.com"
"2019-06-28 11:03:48",55,61,2.511,11579070,117,797,29235,252,388,157,1105,1105,183,2511,7,3187,1110,1984,1392,"438,721","24.78","75.22","146,240","02.23","3.67","53.32","cinemagicmovies.com"
"2019-06-28 11:07:46",98,100,0.251,652,4,217,270,172,15,30,250,250,0,251,0,368,265,265,265,"65,143","45.45","54.55","21,714","00.33","1.78","55.61","communityadvocate.com"
"2019-06-28 11:11:26",54,51,2.404,2157264,75,433,9030,254,94,85,1264,1265,73,2404,1,3425,1173,1185,1173,"164,096","54.87","45.13","54,699","01.16","2.32","51.09","connectionnewspapers.com"
"2019-06-28 11:26:40",47,56,3.23,2567403,132,502,36378,158,143,201,1416,1416,49,3230,1,5252,925,925,925,"190,080","53.46","46.54","63,360","00.57","1.38","69.20","cooperator.com"
"2019-06-28 11:35:19",57,61,4.041,1153674,100,1130,27338,328,193,609,3389,3390,147,4041,6,5459,1686,2960,1686,"955,980","31.80","68.20","318,660","03.02","4.17","58.82","crappie.com"
"2019-07-25 13:06:12",83,90,1.374,929687,50,217,10287,60,102,55,734,734,95,1374,5,2707,755,755,755,"250,723","18.62","81.38","83,574","08.37","5.85","20.30","kansasauctions.com"
"2019-06-28 11:42:18",53,50,2.901,2730794,202,160,24557,0,83,77,1176,1176,228,2901,62,4305,1079,1087,1079,"87,189","46.68","53.32","29,063","00.56","1.80","45.70","kansaspublicradio.org"
"2019-06-28 11:46:00",59,25,12.767,17758799,134,3338,26178,836,533,1969,5828,5828,133,12767,37,14247,4778,6242,4778,"149,161","32.12","67.88","49,720","01.07","2.12","50.21","kerrygoldusa.com"
"2019-06-28 06:14:01",54,49,5.552,7810066,290,323,13504,189,72,62,1238,1238,121,5552,59,7658,934,1343,934,"135,561","59.13","40.87","45,187","01.24","2.26","55.39","100layercake.com"
"2019-06-28 11:51:06",43,49,6.086,3668780,207,1001,22362,344,336,321,3304,3309,60,6086,2,11075,1738,2702,1828,"4.142","24.45","75.55","1.380","01.35","1.88","75.12","nation.com.pk"
"2019-06-28 11:52:47",91,84,1.872,773735,81,727,10332,42,29,656,752,752,0,1872,2,2043,819,1616,1100,"22.30","22.59","77.41","7.434","11.30","11.69","23.07","neswangy.net"
"2019-06-28 11:54:39",47,29,3.692,4427564,149,1156,70665,693,371,92,2607,2607,52,3692,1,4487,2050,2549,2050,"829,728","72.31","27.69","276,576","04.40","4.75","61.12","nrao.edu"
"2019-06-28 11:59:44",46,55,3.806,3665814,180,511,32932,434,2,75,1654,1654,96,3806,119,5780,1043,1700,1043,"98,692","56.32","43.68","32,897","01.12","2.17","54.97","oaklandmagazine.com"
"2019-06-28 12:01:12",47,22,5.999,10821404,201,209,40673,95,81,33,1836,1836,297,5999,4,7529,1270,1440,1270,"1.419","36.96","63.04","473,253","00.39","1.36","84.47","ocweekly.com"
"2019-06-28 06:19:24",39,5,11.259,14310437,455,1120,36574,770,1,349,2890,2890,9,11259,40,30765,1564,1739,1564,"4.867","81.67","18.33","1.622","04.25","3.36","61.09","1in.am"
"2019-06-28 12:03:22",58,50,2.409,916226,89,223,5393,0,187,36,826,826,0,2409,1,5793,346,418,374,"1.280","77.76","22.24","426,769","03.44","3.12","37.03","onemorelevel.com"
"2019-06-28 12:07:21",66,47,3.85,3104245,116,1531,12494,183,53,1295,2183,2187,0,3850,0,6096,2072,2354,2072,"451,205","15.08","84.92","150,402","03.22","6.24","27.72","outdoorsfirst.com"
"2019-07-25 13:20:20",80,89,3.613,1078789,67,1113,10196,549,332,232,2771,2795,108,3613,2,3788,2091,2091,2091,"46,046","56.62","43.38","15,349","00.24","1.33","61.62","techgaming.com"
"2019-06-28 12:17:13",54,67,4.684,2052365,134,1198,25443,552,168,478,3005,3006,73,4684,7,6898,2281,4385,2281,"1.478","73.48","26.52","492,913","00.57","1.29","78.83","techsupportall.com"
"2019-06-28 12:23:28",55,36,4.866,5048834,153,680,18685,395,136,149,1234,1235,151,4866,1,7656,1263,1329,1263,"109,909","22.17","77.83","36,636","00.45","1.73","55.76","thebraziltimes.com"
"2019-06-28 14:03:17",75,80,2.071,955657,49,677,17409,349,157,171,787,787,1,2071,0,3302,768,1230,768,"792,995","15.10","84.90","264,332","01.46","3.48","51.04","tiendeo.us"
"2019-06-28 14:07:49",85,89,0.728,252826,52,265,15997,113,106,46,416,416,0,728,0,792,394,584,583,"560,821","24.30","75.70","186,940","01.11","1.89","49.89","topconsumerreviews.com"
"2019-06-28 14:09:50",84,88,1.002,530053,35,459,7392,365,26,68,664,664,10,1002,1,1031,669,669,669,"156,570","44.92","55.08","52,190","00.56","1.54","64.80","topdreamer.com"
"2019-06-28 14:11:43",59,71,3.106,2033564,117,305,13386,115,116,74,2326,2327,7,3106,23,3775,1171,1825,1171,"260,130","12.42","87.58","86,710","01.23","3.15","58.33","transdepot.net"
"2019-06-28 14:14:29",65,68,56.99,51461774,330,154,50700,57,73,24,2168,2168,408,56990,316,57441,900,1870,900,"389,062","39.19","60.81","129,687","01.16","1.58","71.41","truthaboutpetfood.com"
"2019-06-28 14:17:59",71,78,4.253,30047478,134,495,18499,176,159,160,2522,2522,2,4253,18,4786,803,1350,803,"1.672","25.06","74.94","557,339","02.17","2.63","53.64","tuktukpatrol.com"
"2019-06-28 14:19:59",74,86,2.455,852834,55,1262,5244,596,1,665,1896,1896,29,2455,2,4025,1642,1642,1642,"75.50","64.22","35.78","25.16","08.41","4.98","37.44","tureng.com"
"2019-06-28 14:22:16",77,82,2.855,679644,74,794,9813,375,53,366,1066,1066,121,2855,21,4903,980,1576,980,"38.75","71.02","28.98","12.91","04.36","4.93","33.03","turkcealtyazi.org"
"2019-06-28 14:24:19",48,58,8.492,2637593,198,1693,51125,416,58,1219,5952,5953,351,8492,10,10486,5082,5383,5082,"18.83","38.40","61.60","6.278","02.40","1.61","76.06","tvrain.ru"
