"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-25 13:09:46",54,38,4.537,11151203,288,219,13391,93,51,75,819,819,94,4537,63,16233,575,875,575,"135,561","59.13","40.87","45,187","01.24","2.26","55.39","100layercake.com"
"2019-07-25 13:11:00",41,46,5.335,3563647,237,1003,22748,344,337,322,4189,4194,87,5335,3,6672,1821,2745,1821,"4.142","24.45","75.55","1.380","01.35","1.88","75.12","nation.com.pk"
"2019-07-25 13:11:57",91,81,2.696,1070627,81,806,11301,39,108,659,881,881,0,2696,16,3414,993,2314,993,"22.30","22.59","77.41","7.434","11.30","11.69","23.07","neswangy.net"
"2019-07-25 13:12:58",46,31,3.59,4574578,140,1091,70550,636,370,85,2462,2463,82,3590,0,4332,1954,2248,1954,"829,728","72.31","27.69","276,576","04.40","4.75","61.12","nrao.edu"
"2019-06-28 11:59:44",46,55,3.806,3665814,180,511,32932,434,2,75,1654,1654,96,3806,119,5780,1043,1700,1043,"98,692","56.32","43.68","32,897","01.12","2.17","54.97","oaklandmagazine.com"
"2019-07-20 11:54:42",50,33,5.314,12164237,197,192,40546,83,76,33,1846,1846,285,5314,7,5673,910,910,910,"1.419","36.96","63.04","473,253","00.39","1.36","84.47","ocweekly.com"
"2019-07-25 13:16:04",39,15,10.608,9615146,411,1347,36221,975,1,371,6215,6215,35,10608,38,17365,2016,2232,2016,"4.867","81.67","18.33","1.622","04.25","3.36","61.09","1in.am"
"2019-07-25 13:17:23",60,48,1.355,1034446,82,228,5371,0,189,39,1022,1022,0,1355,2,2314,582,608,582,"1.280","77.76","22.24","426,769","03.44","3.12","37.03","onemorelevel.com"
"2019-07-25 13:18:27",67,44,3.177,3160203,116,2139,12321,408,23,1708,2773,2778,0,3177,0,5489,2613,2613,2613,"451,205","15.08","84.92","150,402","03.22","6.24","27.72","outdoorsfirst.com"
"2019-07-25 13:20:20",80,89,3.613,1078789,67,1113,10196,549,332,232,2771,2795,108,3613,2,3788,2091,2091,2091,"46,046","56.62","43.38","15,349","00.24","1.33","61.62","techgaming.com"
"2019-07-25 13:21:28",62,76,8.549,1962182,100,5521,22664,2326,300,2895,6914,7040,232,8549,4,10699,6333,7975,6333,"1.478","73.48","26.52","492,913","00.57","1.29","78.83","techsupportall.com"
"2019-07-25 13:23:11",49,24,6.476,9497891,314,534,20693,264,132,138,971,971,129,6476,23,9917,975,975,975,"109,909","22.17","77.83","36,636","00.45","1.73","55.76","thebraziltimes.com"
"2019-07-25 13:24:39",73,75,2.401,1031288,55,708,21228,337,157,214,1051,1051,1,2401,49,3230,959,1336,959,"792,995","15.10","84.90","264,332","01.46","3.48","51.04","tiendeo.us"
"2019-07-25 13:27:23",85,89,0.735,252839,52,265,16024,108,110,47,451,451,0,735,0,789,414,572,571,"560,821","24.30","75.70","186,940","01.11","1.89","49.89","topconsumerreviews.com"
"2019-07-25 14:08:19",75,88,1.584,768543,46,583,8251,536,33,14,1145,1145,10,1584,1,1597,951,959,951,"156,570","44.92","55.08","52,190","00.56","1.54","64.80","topdreamer.com"
"2019-07-25 14:09:30",65,77,3.032,1092556,105,502,12983,205,216,81,2564,2565,4,3032,10,3069,674,674,674,"260,130","12.42","87.58","86,710","01.23","3.15","58.33","transdepot.net"
"2019-07-25 14:10:22",65,68,62.003,51509206,329,219,50969,127,68,24,2361,2361,235,62003,367,62702,784,1360,784,"389,062","39.19","60.81","129,687","01.16","1.58","71.41","truthaboutpetfood.com"
"2019-07-25 14:15:44",81,17,2.214,6464101,64,275,49285,89,107,79,1658,1681,0,2214,6,2956,645,1863,645,"1.672","25.06","74.94","557,339","02.17","2.63","53.64","tuktukpatrol.com"
"2019-07-25 14:16:55",74,86,2.711,824505,54,1910,5192,1073,1,836,2304,2304,20,2711,3,4332,2232,2232,2232,"75.50","64.22","35.78","25.16","08.41","4.98","37.44","tureng.com"
"2019-07-25 14:18:10",79,85,2.384,636224,53,949,10724,499,31,419,1359,1359,54,2384,17,3101,1082,1670,1082,"38.75","71.02","28.98","12.91","04.36","4.93","33.03","turkcealtyazi.org"
"2019-07-25 14:19:26",51,57,7.461,2787500,127,2026,51897,625,58,1343,5791,5796,327,7461,9,9286,4600,4944,4600,"18.83","38.40","61.60","6.278","02.40","1.61","76.06","tvrain.ru"
