Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-07-27 12:41:06",49,12,4.2270,2431438,975,949,17496,517,24,408,2576,2581,45,4227,2,11790,2015,2130,2015,aqkHkuJD
"2019-07-30 13:21:54",48,12,4.0950,3315387,979,1111,17495,493,23,595,2290,2296,37,4095,2,11033,1949,2026,1949,RtdjA5hH
