Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-28 14:52:06",52,56,1.9930,2662173,153,72,7133,38,20,14,1197,1197,154,1993,5,2060,515,895,720,Ixudf6md
"2019-07-28 11:34:50",50,58,2.9530,3223362,187,196,7100,38,137,21,1358,1358,159,2953,21,3753,822,1323,822,9gpJqRVS
