Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-07-20 09:13:21",50,56,4.3900,2576209,256,48,67412,0,43,5,755,756,114,4390,52,8015,142,579,142,p26IC6US
"2019-07-24 13:29:37",47,52,4.8940,2647339,317,207,67267,0,195,12,419,419,0,4894,85,10761,419,838,419,2An5SJ96
