Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-28 01:37:36",54,49,12.0590,3781048,285,249,53151,211,28,10,3031,3031,10,12059,200,22992,1113,1174,1113,7FstNMZH
"2019-07-01 16:29:13",49,50,8.2740,3857753,275,294,54974,239,25,30,1972,1973,39,8274,217,12441,848,873,848,3Leg1fZr
"2019-07-11 23:19:41",53,52,6.7010,3756972,263,267,53851,234,23,10,1479,1480,5,6701,76,10280,810,815,810,tmu7Gv0R
"2019-07-17 10:28:46",49,53,8.5040,3522391,241,315,54642,179,66,70,2942,2942,51,8504,180,19257,2116,2116,2116,eq4AtLeh
"2019-07-24 13:42:41",49,52,6.3240,3572407,256,231,84748,157,58,16,2606,2607,49,6324,206,9260,1336,4417,1336,OA8ABsVW
