Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-28 05:15:50",51,44,15.3740,4198547,397,243,91258,208,25,10,916,925,0,15374,31,20383,1044,2333,1044,mxrWJHZd
"2019-07-07 15:16:09",53,49,34.2550,3731597,335,143,89897,128,7,8,631,632,0,34255,19,34313,450,450,450,NCoBwMMd
"2019-07-07 15:19:33",53,47,34.3980,3553953,353,92,89890,69,15,8,650,651,0,34398,19,34450,541,541,541,qyWEII2g
"2019-07-08 17:32:28",53,48,9.9430,3578918,344,235,92495,211,16,8,844,845,1,9943,19,11544,605,605,605,33Er0SEC
"2019-07-17 17:49:32",53,45,8.2740,3422865,386,89,91696,69,14,6,502,503,0,8274,14,10105,354,354,354,EdLi2Q9x
"2019-07-17 17:50:19",53,45,8.1530,3426962,384,79,91687,59,14,6,566,567,0,8153,12,14657,475,475,475,pviKCfWx
"2019-07-24 14:31:02",53,45,6.5770,4264150,381,170,92140,155,7,8,677,678,0,6577,13,9160,657,657,657,cArXYw6G
